"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
2018-12-01,"Getafe","Espanol",3,0,"H"
2018-12-01,"Real Madrid","Valencia",2,0,"H"
2018-12-01,"Valladolid","Leganes",2,4,"A"
2018-12-02,"Alaves","Sevilla",1,1,"D"
2018-12-02,"Barcelona","Villarreal",2,0,"H"
2018-12-02,"Betis","Sociedad",1,0,"H"
2018-12-02,"Girona","Ath Madrid",1,1,"D"
2018-12-03,"Levante","Ath Bilbao",3,0,"H"
2018-12-07,"Leganes","Getafe",1,1,"D"
2018-12-08,"Ath Madrid","Alaves",3,0,"H"
2018-12-08,"Espanol","Barcelona",0,4,"A"
2018-12-08,"Valencia","Sevilla",1,1,"D"
2018-12-08,"Villarreal","Celta",2,3,"A"
2018-12-09,"Betis","Vallecano",2,0,"H"
2018-12-09,"Eibar","Levante",4,4,"D"
2018-12-09,"Huesca","Real Madrid",0,1,"A"
2018-12-09,"Sociedad","Valladolid",1,2,"A"
2018-12-10,"Ath Bilbao","Girona",1,0,"H"
2018-12-14,"Celta","Leganes",0,0,"D"
2018-12-15,"Eibar","Valencia",1,1,"D"
2018-12-15,"Getafe","Sociedad",1,0,"H"
2018-12-15,"Real Madrid","Vallecano",1,0,"H"
2018-12-15,"Valladolid","Ath Madrid",2,3,"A"
2018-12-16,"Espanol","Betis",1,3,"A"
2018-12-16,"Huesca","Villarreal",2,2,"D"
2018-12-16,"Levante","Barcelona",0,5,"A"
2018-12-16,"Sevilla","Girona",2,0,"H"
2018-12-17,"Alaves","Ath Bilbao",0,0,"D"
2018-12-21,"Girona","Getafe",1,1,"D"
2018-12-21,"Sociedad","Alaves",0,1,"A"
2018-12-22,"Ath Bilbao","Valladolid",1,1,"D"
2018-12-22,"Ath Madrid","Espanol",1,0,"H"
2018-12-22,"Barcelona","Celta",2,0,"H"
2018-12-22,"Betis","Eibar",1,1,"D"
2018-12-23,"Leganes","Sevilla",1,1,"D"
2018-12-23,"Valencia","Huesca",2,1,"H"
2018-12-23,"Vallecano","Levante",2,1,"H"
2019-01-03,"Villarreal","Real Madrid",2,2,"D"
2019-01-04,"Espanol","Leganes",1,0,"H"
2019-01-04,"Levante","Girona",2,2,"D"
2019-01-05,"Alaves","Valencia",2,1,"H"
2019-01-05,"Huesca","Betis",2,1,"H"
2019-01-05,"Valladolid","Vallecano",0,1,"A"
2019-01-06,"Eibar","Villarreal",0,0,"D"
2019-01-06,"Getafe","Barcelona",1,2,"A"
2019-01-06,"Real Madrid","Sociedad",0,2,"A"
2019-01-06,"Sevilla","Ath Madrid",1,1,"D"
2019-01-07,"Celta","Ath Bilbao",1,2,"A"
2019-01-11,"Vallecano","Celta",4,2,"H"
2019-01-12,"Girona","Alaves",1,1,"D"
2019-01-12,"Leganes","Huesca",1,0,"H"
2019-01-12,"Valencia","Valladolid",1,1,"D"
2019-01-12,"Villarreal","Getafe",1,2,"A"
2019-01-13,"Ath Bilbao","Sevilla",2,0,"H"
2019-01-13,"Ath Madrid","Levante",1,0,"H"
2019-01-13,"Barcelona","Eibar",3,0,"H"
2019-01-13,"Betis","Real Madrid",1,2,"A"
2019-01-14,"Sociedad","Espanol",3,2,"H"
2019-01-18,"Getafe","Alaves",4,0,"H"
2019-01-19,"Celta","Valencia",1,2,"A"
2019-01-19,"Huesca","Ath Madrid",0,3,"A"
2019-01-19,"Real Madrid","Sevilla",2,0,"H"
2019-01-20,"Barcelona","Leganes",3,1,"H"
2019-01-20,"Betis","Girona",3,2,"H"
2019-01-20,"Levante","Valladolid",2,0,"H"
2019-01-20,"Vallecano","Sociedad",2,2,"D"
2019-01-20,"Villarreal","Ath Bilbao",1,1,"D"
2019-01-21,"Eibar","Espanol",3,0,"H"
2019-01-26,"Ath Madrid","Getafe",2,0,"H"
2019-01-26,"Leganes","Eibar",2,2,"D"
2019-01-26,"Sevilla","Levante",5,0,"H"
2019-01-26,"Valencia","Villarreal",3,0,"H"
2019-01-27,"Ath Bilbao","Betis",1,0,"H"
2019-01-27,"Espanol","Real Madrid",2,4,"A"
2019-01-27,"Girona","Barcelona",0,2,"A"
2019-01-27,"Sociedad","Huesca",0,0,"D"
2019-01-27,"Valladolid","Celta",2,1,"H"
2019-01-28,"Alaves","Vallecano",0,1,"A"
2019-02-01,"Huesca","Valladolid",4,0,"H"
2019-02-02,"Barcelona","Valencia",2,2,"D"
2019-02-02,"Celta","Sevilla",1,0,"H"
2019-02-02,"Levante","Getafe",0,0,"D"
2019-02-02,"Sociedad","Ath Bilbao",2,1,"H"
2019-02-03,"Betis","Ath Madrid",1,0,"H"
2019-02-03,"Eibar","Girona",3,0,"H"
2019-02-03,"Real Madrid","Alaves",3,0,"H"
2019-02-03,"Villarreal","Espanol",2,2,"D"
2019-02-04,"Vallecano","Leganes",1,2,"A"
2019-02-08,"Valladolid","Villarreal",0,0,"D"
2019-02-09,"Ath Madrid","Real Madrid",1,3,"A"
2019-02-09,"Espanol","Vallecano",2,1,"H"
2019-02-09,"Getafe","Celta",3,1,"H"
2019-02-09,"Girona","Huesca",0,2,"A"
2019-02-10,"Ath Bilbao","Barcelona",0,0,"D"
2019-02-10,"Leganes","Betis",3,0,"H"
2019-02-10,"Sevilla","Eibar",2,2,"D"
2019-02-10,"Valencia","Sociedad",0,0,"D"
2019-02-11,"Alaves","Levante",2,0,"H"
2019-02-15,"Eibar","Getafe",2,2,"D"
2019-02-16,"Barcelona","Valladolid",1,0,"H"
2019-02-16,"Celta","Levante",1,4,"A"
2019-02-16,"Sociedad","Leganes",3,0,"H"
2019-02-16,"Vallecano","Ath Madrid",0,1,"A"
2019-02-17,"Betis","Alaves",1,1,"D"
2019-02-17,"Real Madrid","Girona",1,2,"A"
2019-02-17,"Valencia","Espanol",0,0,"D"
2019-02-17,"Villarreal","Sevilla",3,0,"H"
2019-02-18,"Huesca","Ath Bilbao",0,1,"A"
2019-02-22,"Espanol","Huesca",1,1,"D"
2019-02-23,"Alaves","Celta",0,0,"D"
2019-02-23,"Ath Bilbao","Eibar",1,0,"H"
2019-02-23,"Getafe","Vallecano",2,1,"H"
2019-02-23,"Sevilla","Barcelona",2,4,"A"
2019-02-24,"Ath Madrid","Villarreal",2,0,"H"
2019-02-24,"Leganes","Valencia",1,1,"D"
2019-02-24,"Levante","Real Madrid",1,2,"A"
2019-02-24,"Valladolid","Betis",0,2,"A"
2019-02-25,"Girona","Sociedad",0,0,"D"
2019-03-01,"Vallecano","Girona",0,2,"A"
2019-03-02,"Espanol","Valladolid",3,1,"H"
2019-03-02,"Huesca","Sevilla",2,1,"H"
2019-03-02,"Real Madrid","Barcelona",0,1,"A"
2019-03-02,"Villarreal","Alaves",1,2,"A"
2019-03-03,"Betis","Getafe",1,2,"A"
2019-03-03,"Eibar","Celta",1,0,"H"
2019-03-03,"Sociedad","Ath Madrid",0,2,"A"
2019-03-03,"Valencia","Ath Bilbao",2,0,"H"
2019-03-04,"Leganes","Levante",1,0,"H"
2019-03-08,"Ath Bilbao","Espanol",1,1,"D"
2019-03-09,"Alaves","Eibar",1,1,"D"
2019-03-09,"Ath Madrid","Leganes",1,0,"H"
2019-03-09,"Barcelona","Vallecano",3,1,"H"
2019-03-09,"Getafe","Huesca",2,1,"H"
2019-03-10,"Celta","Betis",0,1,"A"
2019-03-10,"Girona","Valencia",2,3,"A"
2019-03-10,"Levante","Villarreal",0,2,"A"
2019-03-10,"Sevilla","Sociedad",5,2,"H"
2019-03-10,"Valladolid","Real Madrid",1,4,"A"
2019-03-15,"Sociedad","Levante",1,1,"D"
2019-03-16,"Ath Bilbao","Ath Madrid",2,0,"H"
2019-03-16,"Huesca","Alaves",1,3,"A"
2019-03-16,"Leganes","Girona",0,2,"A"
2019-03-16,"Real Madrid","Celta",2,0,"H"
2019-03-17,"Betis","Barcelona",1,4,"A"
2019-03-17,"Eibar","Valladolid",1,2,"A"
2019-03-17,"Espanol","Sevilla",0,1,"A"
2019-03-17,"Valencia","Getafe",0,0,"D"
2019-03-17,"Villarreal","Vallecano",3,1,"H"
2019-03-29,"Girona","Ath Bilbao",1,2,"A"
2019-03-30,"Alaves","Ath Madrid",0,4,"A"
2019-03-30,"Barcelona","Espanol",2,0,"H"
2019-03-30,"Celta","Villarreal",3,2,"H"
2019-03-30,"Getafe","Leganes",0,2,"A"
2019-03-31,"Levante","Eibar",2,2,"D"
2019-03-31,"Real Madrid","Huesca",3,2,"H"
2019-03-31,"Sevilla","Valencia",0,1,"A"
2019-03-31,"Valladolid","Sociedad",1,1,"D"
2019-03-31,"Vallecano","Betis",1,1,"D"
2019-04-02,"Ath Madrid","Girona",2,0,"H"
2019-04-02,"Espanol","Getafe",1,1,"D"
2019-04-02,"Villarreal","Barcelona",4,4,"D"
2019-04-03,"Ath Bilbao","Levante",3,2,"H"
2019-04-03,"Eibar","Vallecano",2,1,"H"
2019-04-03,"Huesca","Celta",3,3,"D"
2019-04-03,"Valencia","Real Madrid",2,1,"H"
2019-04-04,"Leganes","Valladolid",1,0,"H"
2019-04-04,"Sevilla","Alaves",2,0,"H"
2019-04-04,"Sociedad","Betis",2,1,"H"
2019-04-06,"Barcelona","Ath Madrid",2,0,"H"
2019-04-06,"Girona","Espanol",1,2,"A"
2019-04-06,"Real Madrid","Eibar",2,1,"H"
2019-04-06,"Vallecano","Valencia",2,0,"H"
2019-04-07,"Alaves","Leganes",1,1,"D"
2019-04-07,"Betis","Villarreal",2,1,"H"
2019-04-07,"Celta","Sociedad",3,1,"H"
2019-04-07,"Getafe","Ath Bilbao",1,0,"H"
2019-04-07,"Levante","Huesca",2,2,"D"
2019-04-07,"Valladolid","Sevilla",0,2,"A"
2019-04-13,"Ath Madrid","Celta",2,0,"H"
2019-04-13,"Espanol","Alaves",2,1,"H"
2019-04-13,"Huesca","Barcelona",0,0,"D"
2019-04-13,"Sevilla","Betis",3,2,"H"
2019-04-14,"Ath Bilbao","Vallecano",3,2,"H"
2019-04-14,"Girona","Villarreal",0,1,"A"
2019-04-14,"Sociedad","Eibar",1,1,"D"
2019-04-14,"Valencia","Levante",3,1,"H"
2019-04-14,"Valladolid","Getafe",2,2,"D"
2019-04-15,"Leganes","Real Madrid",1,1,"D"
2019-04-19,"Alaves","Valladolid",2,2,"D"
2019-04-20,"Barcelona","Sociedad",2,1,"H"
2019-04-20,"Celta","Girona",2,1,"H"
2019-04-20,"Eibar","Ath Madrid",0,1,"A"
2019-04-20,"Vallecano","Huesca",0,0,"D"
2019-04-21,"Betis","Valencia",1,2,"A"
2019-04-21,"Getafe","Sevilla",3,0,"H"
2019-04-21,"Levante","Espanol",2,2,"D"
2019-04-21,"Real Madrid","Ath Bilbao",3,0,"H"
2019-04-21,"Villarreal","Leganes",2,1,"H"
2019-04-23,"Alaves","Barcelona",0,2,"A"
2019-04-23,"Huesca","Eibar",2,0,"H"
2019-04-23,"Valladolid","Girona",1,0,"H"
2019-04-24,"Ath Madrid","Valencia",3,2,"H"
2019-04-24,"Espanol","Celta",1,1,"D"
2019-04-24,"Leganes","Ath Bilbao",0,1,"A"
2019-04-24,"Levante","Betis",4,0,"H"
2019-04-25,"Getafe","Real Madrid",0,0,"D"
2019-04-25,"Sevilla","Vallecano",5,0,"H"
2019-04-25,"Sociedad","Villarreal",0,1,"A"
2019-04-27,"Ath Bilbao","Alaves",1,1,"D"
2019-04-27,"Ath Madrid","Valladolid",1,0,"H"
2019-04-27,"Barcelona","Levante",1,0,"H"
2019-04-27,"Leganes","Celta",0,0,"D"
2019-04-28,"Girona","Sevilla",1,0,"H"
2019-04-28,"Sociedad","Getafe",2,1,"H"
2019-04-28,"Valencia","Eibar",0,1,"A"
2019-04-28,"Vallecano","Real Madrid",1,0,"H"
2019-04-28,"Villarreal","Huesca",1,1,"D"
2019-04-29,"Betis","Espanol",1,1,"D"
2019-05-03,"Sevilla","Leganes",0,3,"A"
2019-05-04,"Alaves","Sociedad",0,1,"A"
2019-05-04,"Celta","Barcelona",2,0,"H"
2019-05-04,"Espanol","Ath Madrid",3,0,"H"
2019-05-04,"Levante","Vallecano",4,1,"H"
2019-05-05,"Eibar","Betis",1,0,"H"
2019-05-05,"Getafe","Girona",2,0,"H"
2019-05-05,"Huesca","Valencia",2,6,"A"
2019-05-05,"Real Madrid","Villarreal",3,2,"H"
2019-05-05,"Valladolid","Ath Bilbao",1,0,"H"
2019-05-12,"Ath Bilbao","Celta",3,1,"H"
2019-05-12,"Ath Madrid","Sevilla",1,1,"D"
2019-05-12,"Barcelona","Getafe",2,0,"H"
2019-05-12,"Betis","Huesca",2,1,"H"
2019-05-12,"Girona","Levante",1,2,"A"
2019-05-12,"Leganes","Espanol",0,2,"A"
2019-05-12,"Sociedad","Real Madrid",3,1,"H"
2019-05-12,"Valencia","Alaves",3,1,"H"
2019-05-12,"Vallecano","Valladolid",1,2,"A"
2019-05-12,"Villarreal","Eibar",1,0,"H"
2019-05-18,"Alaves","Girona",2,1,"H"
2019-05-18,"Celta","Vallecano",2,2,"D"
2019-05-18,"Espanol","Sociedad",2,0,"H"
2019-05-18,"Getafe","Villarreal",2,2,"D"
2019-05-18,"Huesca","Leganes",2,1,"H"
2019-05-18,"Levante","Ath Madrid",2,2,"D"
2019-05-18,"Sevilla","Ath Bilbao",2,0,"H"
2019-05-18,"Valladolid","Valencia",0,2,"A"
2019-05-19,"Eibar","Barcelona",2,2,"D"
2019-05-19,"Real Madrid","Betis",0,2,"A"
2019-08-16,"Ath Bilbao","Barcelona",1,0,"H"
2019-08-17,"Celta","Real Madrid",1,3,"A"
2019-08-17,"Valencia","Sociedad",1,1,"D"
2019-08-17,"Mallorca","Eibar",2,1,"H"
2019-08-17,"Leganes","Osasuna",0,1,"A"
2019-08-17,"Villarreal","Granada",4,4,"D"
2019-08-18,"Alaves","Levante",1,0,"H"
2019-08-18,"Espanol","Sevilla",0,2,"A"
2019-08-18,"Betis","Valladolid",1,2,"A"
2019-08-18,"Ath Madrid","Getafe",1,0,"H"
2019-08-23,"Granada","Sevilla",0,1,"A"
2019-08-23,"Levante","Villarreal",2,1,"H"
2019-08-24,"Osasuna","Eibar",0,0,"D"
2019-08-24,"Real Madrid","Valladolid",1,1,"D"
2019-08-24,"Celta","Valencia",1,0,"H"
2019-08-24,"Getafe","Ath Bilbao",1,1,"D"
2019-08-25,"Alaves","Espanol",0,0,"D"
2019-08-25,"Mallorca","Sociedad",0,1,"A"
2019-08-25,"Leganes","Ath Madrid",0,1,"A"
2019-08-25,"Barcelona","Betis",5,2,"H"
2019-08-30,"Sevilla","Celta",1,1,"D"
2019-08-30,"Ath Bilbao","Sociedad",2,0,"H"
2019-08-31,"Osasuna","Barcelona",2,2,"D"
2019-08-31,"Getafe","Alaves",1,1,"D"
2019-08-31,"Levante","Valladolid",2,0,"H"
2019-08-31,"Betis","Leganes",2,1,"H"
2019-09-01,"Valencia","Mallorca",2,0,"H"
2019-09-01,"Ath Madrid","Eibar",3,2,"H"
2019-09-01,"Espanol","Granada",0,3,"A"
2019-09-01,"Villarreal","Real Madrid",2,2,"D"
2019-09-13,"Mallorca","Ath Bilbao",0,0,"D"
2019-09-14,"Real Madrid","Levante",3,2,"H"
2019-09-14,"Leganes","Villarreal",0,3,"A"
2019-09-14,"Sociedad","Ath Madrid",2,0,"H"
2019-09-14,"Barcelona","Valencia",5,2,"H"
2019-09-15,"Eibar","Espanol",1,2,"A"
2019-09-15,"Alaves","Sevilla",0,1,"A"
2019-09-15,"Celta","Granada",0,2,"A"
2019-09-15,"Valladolid","Osasuna",1,1,"D"
2019-09-15,"Betis","Getafe",1,1,"D"
2019-09-20,"Osasuna","Betis",0,0,"D"
2019-09-21,"Villarreal","Valladolid",2,0,"H"
2019-09-21,"Levante","Eibar",0,0,"D"
2019-09-21,"Ath Madrid","Celta",0,0,"D"
2019-09-21,"Granada","Barcelona",2,0,"H"
2019-09-22,"Getafe","Mallorca",4,2,"H"
2019-09-22,"Espanol","Sociedad",1,3,"A"
2019-09-22,"Valencia","Leganes",1,1,"D"
2019-09-22,"Ath Bilbao","Alaves",2,0,"H"
2019-09-22,"Sevilla","Real Madrid",0,1,"A"
2019-09-24,"Valladolid","Granada",1,1,"D"
2019-09-24,"Betis","Levante",3,1,"H"
2019-09-24,"Barcelona","Villarreal",2,1,"H"
2019-09-25,"Leganes","Ath Bilbao",1,1,"D"
2019-09-25,"Mallorca","Ath Madrid",0,2,"A"
2019-09-25,"Valencia","Getafe",3,3,"D"
2019-09-25,"Real Madrid","Osasuna",2,0,"H"
2019-09-26,"Eibar","Sevilla",3,2,"H"
2019-09-26,"Celta","Espanol",1,1,"D"
2019-09-26,"Sociedad","Alaves",3,0,"H"
2019-09-27,"Villarreal","Betis",5,1,"H"
2019-09-28,"Ath Bilbao","Valencia",0,1,"A"
2019-09-28,"Getafe","Barcelona",0,2,"A"
2019-09-28,"Granada","Leganes",1,0,"H"
2019-09-28,"Ath Madrid","Real Madrid",0,0,"D"
2019-09-29,"Espanol","Valladolid",0,2,"A"
2019-09-29,"Eibar","Celta",2,0,"H"
2019-09-29,"Alaves","Mallorca",2,0,"H"
2019-09-29,"Levante","Osasuna",1,1,"D"
2019-09-29,"Sevilla","Sociedad",3,2,"H"
2019-10-04,"Betis","Eibar",1,1,"D"
2019-10-05,"Leganes","Levante",1,2,"A"
2019-10-05,"Real Madrid","Granada",4,2,"H"
2019-10-05,"Valencia","Alaves",2,1,"H"
2019-10-05,"Osasuna","Villarreal",2,1,"H"
2019-10-06,"Mallorca","Espanol",2,0,"H"
2019-10-06,"Celta","Ath Bilbao",1,0,"H"
2019-10-06,"Valladolid","Ath Madrid",0,0,"D"
2019-10-06,"Sociedad","Getafe",1,2,"A"
2019-10-06,"Barcelona","Sevilla",4,0,"H"
2019-10-18,"Granada","Osasuna",1,0,"H"
2019-10-19,"Eibar","Barcelona",0,3,"A"
2019-10-19,"Ath Madrid","Valencia",1,1,"D"
2019-10-19,"Getafe","Leganes",2,0,"H"
2019-10-19,"Mallorca","Real Madrid",1,0,"H"
2019-10-20,"Alaves","Celta",2,0,"H"
2019-10-20,"Sociedad","Betis",3,1,"H"
2019-10-20,"Espanol","Villarreal",0,1,"A"
2019-10-20,"Ath Bilbao","Valladolid",1,1,"D"
2019-10-20,"Sevilla","Levante",1,0,"H"
2019-10-25,"Villarreal","Alaves",4,1,"H"
2019-10-26,"Leganes","Mallorca",1,0,"H"
2019-10-26,"Valladolid","Eibar",2,0,"H"
2019-10-26,"Ath Madrid","Ath Bilbao",2,0,"H"
2019-10-27,"Celta","Sociedad",0,1,"A"
2019-10-27,"Granada","Betis",1,0,"H"
2019-10-27,"Levante","Espanol",0,1,"A"
2019-10-27,"Sevilla","Getafe",2,0,"H"
2019-10-27,"Osasuna","Valencia",3,1,"H"
2019-10-29,"Alaves","Ath Madrid",1,1,"D"
2019-10-29,"Barcelona","Valladolid",5,1,"H"
2019-10-30,"Sociedad","Levante",1,2,"A"
2019-10-30,"Valencia","Sevilla",1,1,"D"
2019-10-30,"Ath Bilbao","Espanol",3,0,"H"
2019-10-30,"Betis","Celta",2,1,"H"
2019-10-30,"Real Madrid","Leganes",5,0,"H"
2019-10-31,"Eibar","Villarreal",2,1,"H"
2019-10-31,"Mallorca","Osasuna",2,2,"D"
2019-10-31,"Getafe","Granada",3,1,"H"
2019-11-02,"Espanol","Valencia",1,2,"A"
2019-11-02,"Levante","Barcelona",3,1,"H"
2019-11-02,"Sevilla","Ath Madrid",1,1,"D"
2019-11-02,"Real Madrid","Betis",0,0,"D"
2019-11-03,"Valladolid","Mallorca",3,0,"H"
2019-11-03,"Villarreal","Ath Bilbao",0,0,"D"
2019-11-03,"Osasuna","Alaves",4,2,"H"
2019-11-03,"Celta","Getafe",0,1,"A"
2019-11-03,"Leganes","Eibar",1,2,"A"
2019-11-03,"Granada","Sociedad",1,2,"A"
2019-11-08,"Sociedad","Leganes",1,1,"D"
2019-11-09,"Alaves","Valladolid",3,0,"H"
2019-11-09,"Valencia","Granada",2,0,"H"
2019-11-09,"Eibar","Real Madrid",0,4,"A"
2019-11-09,"Barcelona","Celta",4,1,"H"
2019-11-10,"Mallorca","Villarreal",3,1,"H"
2019-11-10,"Ath Bilbao","Levante",2,1,"H"
2019-11-10,"Ath Madrid","Espanol",3,1,"H"
2019-11-10,"Getafe","Osasuna",0,0,"D"
2019-11-10,"Betis","Sevilla",1,2,"A"
2019-11-22,"Levante","Mallorca",2,1,"H"
2019-11-23,"Leganes","Barcelona",1,2,"A"
2019-11-23,"Betis","Valencia",2,1,"H"
2019-11-23,"Granada","Ath Madrid",1,1,"D"
2019-11-23,"Real Madrid","Sociedad",3,1,"H"
2019-11-24,"Espanol","Getafe",1,1,"D"
2019-11-24,"Osasuna","Ath Bilbao",1,2,"A"
2019-11-24,"Eibar","Alaves",0,2,"A"
2019-11-24,"Villarreal","Celta",1,3,"A"
2019-11-24,"Valladolid","Sevilla",0,1,"A"
2019-11-29,"Celta","Valladolid",0,0,"D"
2019-11-30,"Alaves","Real Madrid",1,2,"A"
2019-11-30,"Sociedad","Eibar",4,1,"H"
2019-11-30,"Mallorca","Betis",1,2,"A"
2019-11-30,"Valencia","Villarreal",2,1,"H"
2019-12-01,"Sevilla","Leganes",1,0,"H"
2019-12-01,"Ath Bilbao","Granada",2,0,"H"
2019-12-01,"Espanol","Osasuna",2,4,"A"
2019-12-01,"Getafe","Levante",4,0,"H"
2019-12-01,"Ath Madrid","Barcelona",0,1,"A"
2019-12-06,"Villarreal","Ath Madrid",0,0,"D"
2019-12-07,"Real Madrid","Espanol",2,0,"H"
2019-12-07,"Granada","Alaves",3,0,"H"
2019-12-07,"Levante","Valencia",2,4,"A"
2019-12-07,"Barcelona","Mallorca",5,2,"H"
2019-12-08,"Eibar","Getafe",0,1,"A"
2019-12-08,"Betis","Ath Bilbao",3,2,"H"
2019-12-08,"Valladolid","Sociedad",0,0,"D"
2019-12-08,"Leganes","Celta",3,2,"H"
2019-12-08,"Osasuna","Sevilla",1,1,"D"
2019-12-13,"Alaves","Leganes",1,1,"D"
2019-12-14,"Granada","Levante",1,2,"A"
2019-12-14,"Sociedad","Barcelona",2,2,"D"
2019-12-14,"Ath Bilbao","Eibar",0,0,"D"
2019-12-14,"Ath Madrid","Osasuna",2,0,"H"
2019-12-15,"Getafe","Valladolid",2,0,"H"
2019-12-15,"Celta","Mallorca",2,2,"D"
2019-12-15,"Espanol","Betis",2,2,"D"
2019-12-15,"Sevilla","Villarreal",1,2,"A"
2019-12-15,"Valencia","Real Madrid",1,1,"D"
2019-12-18,"Barcelona","Real Madrid",0,0,"D"
2019-12-20,"Eibar","Granada",3,0,"H"
2019-12-21,"Mallorca","Sevilla",0,2,"A"
2019-12-21,"Barcelona","Alaves",4,1,"H"
2019-12-21,"Villarreal","Getafe",1,0,"H"
2019-12-21,"Valladolid","Valencia",1,1,"D"
2019-12-22,"Leganes","Espanol",2,0,"H"
2019-12-22,"Osasuna","Sociedad",3,4,"A"
2019-12-22,"Betis","Ath Madrid",1,2,"A"
2019-12-22,"Levante","Celta",3,1,"H"
2019-12-22,"Real Madrid","Ath Bilbao",0,0,"D"
2020-01-03,"Valladolid","Leganes",2,2,"D"
2020-01-03,"Sevilla","Ath Bilbao",1,1,"D"
2020-01-04,"Valencia","Eibar",1,0,"H"
2020-01-04,"Getafe","Real Madrid",0,3,"A"
2020-01-04,"Ath Madrid","Levante",2,1,"H"
2020-01-04,"Espanol","Barcelona",2,2,"D"
2020-01-05,"Granada","Mallorca",1,0,"H"
2020-01-05,"Sociedad","Villarreal",1,2,"A"
2020-01-05,"Alaves","Betis",1,1,"D"
2020-01-05,"Celta","Osasuna",1,1,"D"
2020-01-17,"Leganes","Getafe",0,3,"A"
2020-01-18,"Levante","Alaves",0,1,"A"
2020-01-18,"Real Madrid","Sevilla",2,1,"H"
2020-01-18,"Osasuna","Valladolid",0,0,"D"
2020-01-18,"Eibar","Ath Madrid",2,0,"H"
2020-01-19,"Mallorca","Valencia",4,1,"H"
2020-01-19,"Betis","Sociedad",3,0,"H"
2020-01-19,"Villarreal","Espanol",1,2,"A"
2020-01-19,"Ath Bilbao","Celta",1,1,"D"
2020-01-19,"Barcelona","Granada",1,0,"H"
2020-01-24,"Osasuna","Levante",2,0,"H"
2020-01-25,"Espanol","Ath Bilbao",1,1,"D"
2020-01-25,"Valencia","Barcelona",2,0,"H"
2020-01-25,"Alaves","Villarreal",1,2,"A"
2020-01-25,"Sevilla","Granada",2,0,"H"
2020-01-26,"Ath Madrid","Leganes",0,0,"D"
2020-01-26,"Celta","Eibar",0,0,"D"
2020-01-26,"Getafe","Betis",1,0,"H"
2020-01-26,"Sociedad","Mallorca",3,0,"H"
2020-01-26,"Valladolid","Real Madrid",0,1,"A"
2020-02-01,"Granada","Espanol",2,1,"H"
2020-02-01,"Real Madrid","Ath Madrid",1,0,"H"
2020-02-01,"Mallorca","Valladolid",0,1,"A"
2020-02-01,"Valencia","Celta",1,0,"H"
2020-02-02,"Leganes","Sociedad",2,1,"H"
2020-02-02,"Eibar","Betis",1,1,"D"
2020-02-02,"Ath Bilbao","Getafe",0,2,"A"
2020-02-02,"Sevilla","Alaves",1,1,"D"
2020-02-02,"Villarreal","Osasuna",3,1,"H"
2020-02-02,"Barcelona","Levante",2,1,"H"
2020-02-07,"Alaves","Eibar",2,1,"H"
2020-02-08,"Levante","Leganes",2,0,"H"
2020-02-08,"Getafe","Valencia",3,0,"H"
2020-02-08,"Valladolid","Villarreal",1,1,"D"
2020-02-08,"Ath Madrid","Granada",1,0,"H"
2020-02-09,"Espanol","Mallorca",1,0,"H"
2020-02-09,"Sociedad","Ath Bilbao",2,1,"H"
2020-02-09,"Osasuna","Real Madrid",1,4,"A"
2020-02-09,"Celta","Sevilla",2,1,"H"
2020-02-09,"Betis","Barcelona",2,3,"A"
2020-02-14,"Valencia","Ath Madrid",2,2,"D"
2020-02-15,"Mallorca","Alaves",1,0,"H"
2020-02-15,"Barcelona","Getafe",2,1,"H"
2020-02-15,"Villarreal","Levante",2,1,"H"
2020-02-15,"Granada","Valladolid",2,1,"H"
2020-02-16,"Sevilla","Espanol",2,2,"D"
2020-02-16,"Leganes","Betis",0,0,"D"
2020-02-16,"Ath Bilbao","Osasuna",0,1,"A"
2020-02-16,"Real Madrid","Celta",2,2,"D"
2020-02-21,"Betis","Mallorca",3,3,"D"
2020-02-22,"Celta","Leganes",1,0,"H"
2020-02-22,"Barcelona","Eibar",5,0,"H"
2020-02-22,"Sociedad","Valencia",3,0,"H"
2020-02-22,"Levante","Real Madrid",1,0,"H"
2020-02-23,"Osasuna","Granada",0,3,"A"
2020-02-23,"Alaves","Ath Bilbao",2,1,"H"
2020-02-23,"Valladolid","Espanol",2,1,"H"
2020-02-23,"Getafe","Sevilla",0,3,"A"
2020-02-23,"Ath Madrid","Villarreal",3,1,"H"
2020-02-28,"Sociedad","Valladolid",1,0,"H"
2020-02-29,"Eibar","Levante",3,0,"H"
2020-02-29,"Valencia","Betis",2,1,"H"
2020-02-29,"Leganes","Alaves",1,1,"D"
2020-02-29,"Granada","Celta",0,0,"D"
2020-03-01,"Sevilla","Osasuna",3,2,"H"
2020-03-01,"Ath Bilbao","Villarreal",1,0,"H"
2020-03-01,"Espanol","Ath Madrid",1,1,"D"
2020-03-01,"Mallorca","Getafe",0,1,"A"
2020-03-01,"Real Madrid","Barcelona",2,0,"H"
2020-03-06,"Alaves","Valencia",1,1,"D"
2020-03-07,"Eibar","Mallorca",1,2,"A"
2020-03-07,"Ath Madrid","Sevilla",2,2,"D"
2020-03-07,"Barcelona","Sociedad",1,0,"H"
2020-03-07,"Getafe","Celta",0,0,"D"
2020-03-08,"Osasuna","Espanol",1,0,"H"
2020-03-08,"Valladolid","Ath Bilbao",1,4,"A"
